,rating,playback_used,ebird_code,channels,date,duration,filename,species,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,bitrate_of_mp3,file_type,background,xc_id,url,country,author,primary_label,longitude,time,recordist,license,fpath
188,4.0,no,amecro,1 (mono),2019-03-28,14,XC464018.mp3,American Crow,XC464018 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Bowie Nature Park, Perimeter Trail, Fairview, Williamson County, Tennessee",35.975,44100 (Hz),call,260 m,87714 (bps),mp3,,464018,https://www.xeno-canto.org/464018,United States,Brian Hendrix,Corvus brachyrhynchos_American Crow,-87.1328,18:00,Brian Hendrix,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC464018.mp3
189,4.0,no,amecro,1 (mono),2019-02-23,5,XC460872.mp3,American Crow,XC460872 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"West Lake, Everglades National Park, Florida",25.2138,48000 (Hz),call,0 m,128000 (bps),mp3,,460872,https://www.xeno-canto.org/460872,United States,Uku Paal,Corvus brachyrhynchos_American Crow,-80.8504,08:00,Uku Paal,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC460872.mp3
191,4.0,no,amecro,1 (mono),2018-01-26,14,XC453754.mp3,American Crow,XC453754 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Lindo Lake, Lakeside, San Diego County, California",32.8572,48000 (Hz),call,120 m,128000 (bps),mp3,,453754,https://www.xeno-canto.org/453754,United States,Paul Marvin,Corvus brachyrhynchos_American Crow,-116.9189,07:34,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC453754.mp3
193,4.0,no,amecro,1 (mono),2018-06-03,23,XC425504.mp3,American Crow,XC425504 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,44100 (Hz),call,60 m,192000 (bps),mp3,,425504,https://www.xeno-canto.org/425504,United States,Thomas Magarian,Corvus brachyrhynchos_American Crow,-122.6912,10:30,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC425504.mp3
194,4.0,no,amecro,2 (stereo),2018-05-12,4,XC425503.mp3,American Crow,XC425503 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,48000 (Hz),call,60 m,192000 (bps),mp3,,425503,https://www.xeno-canto.org/425503,United States,Thomas Magarian,Corvus brachyrhynchos_American Crow,-122.6912,17:48,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC425503.mp3
195,4.0,no,amecro,2 (stereo),2018-05-12,16,XC425502.mp3,American Crow,XC425502 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"2310 North Wygant Street, North Portland, Multnomah County, Oregon",45.5575,48000 (Hz),call,60 m,192000 (bps),mp3,,425502,https://www.xeno-canto.org/425502,United States,Thomas Magarian,Corvus brachyrhynchos_American Crow,-122.6912,17:46,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC425502.mp3
197,4.0,no,amecro,2 (stereo),2018-06-12,21,XC420508.mp3,American Crow,XC420508 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Ely, White Pine County, Nevada",39.1778,48000 (Hz),call,1900 m,192000 (bps),mp3,,420508,https://www.xeno-canto.org/420508,United States,Bobby Wilcox,Corvus brachyrhynchos_American Crow,-114.389,08:00,Bobby Wilcox,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC420508.mp3
198,4.0,no,amecro,1 (mono),2018-03-24,40,XC407053.mp3,American Crow,XC407053 American Crow (Corvus brachyrhynchos),[],no,Corvus brachyrhynchos,"Ottawa, Ottawa Division, Ontario",45.3868,44100 (Hz),call,80 m,127407 (bps),mp3,,407053,https://www.xeno-canto.org/407053,Canada,Dan Minor,Corvus brachyrhynchos_American Crow,-75.7439,06:30,Dan Minor,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC407053.mp3
199,4.0,no,amecro,1 (mono),2017-01-20,31,XC394333.mp3,American Crow,XC394333 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Hoboken, Hudson County, New Jersey",40.7545,44100 (Hz),call,0 m,92887 (bps),mp3,,394333,https://www.xeno-canto.org/394333,United States,Dominic Garcia-Hall,Corvus brachyrhynchos_American Crow,-74.0217,11:00,Dominic Garcia-Hall,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC394333.mp3
203,4.0,no,amecro,2 (stereo),2017-08-25,20,XC388254.mp3,American Crow,XC388254 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Cut Bank, Glacier County, Montana",48.635,48000 (Hz),call,1100 m,320000 (bps),mp3,,388254,https://www.xeno-canto.org/388254,United States,Thomas Magarian,Corvus brachyrhynchos_American Crow,-112.3305,10:07,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC388254.mp3
204,4.0,no,amecro,2 (stereo),2016-06-16,61,XC379659.mp3,American Crow,XC379659 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Torsey Pond Nature Preserve, Readfield, Kennebec County, Maine",44.4168,44100 (Hz),alarm call,100 m,128000 (bps),mp3,,379659,https://www.xeno-canto.org/379659,United States,Lance A. M. Benner,Corvus brachyrhynchos_American Crow,-69.9973,10:15,Lance A. M. Benner,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC379659.mp3
205,4.0,no,amecro,2 (stereo),2017-01-15,18,XC357303.mp3,American Crow,XC357303 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Tredyffrin Township (near  Wayne), Chester County, Pennsylvania",40.092,48000 (Hz),call,50 m,320000 (bps),mp3,,357303,https://www.xeno-canto.org/357303,United States,Thomas Magarian,Corvus brachyrhynchos_American Crow,-75.4258,15:25,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC357303.mp3
206,4.0,no,amecro,1 (mono),2016-06-05,8,XC344949.mp3,American Crow,XC344949 American Crow (Corvus brachyrhynchos),[],no,Corvus brachyrhynchos,"Wood Buffalo (near  Fort McMurray), Division No. 16, Alberta",56.7264,48000 (Hz),call,260 m,80000 (bps),mp3,,344949,https://www.xeno-canto.org/344949,Canada,Luis A Villamil,Corvus brachyrhynchos_American Crow,-111.3803,22:00,Luis A Villamil,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC344949.mp3
209,4.0,no,amecro,1 (mono),2016-06-12,32,XC322267.mp3,American Crow,XC322267 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Winnemucca, Humboldt County, Nevada",41.62,48000 (Hz),"alarm call, call",1800 m,96000 (bps),mp3,,322267,https://www.xeno-canto.org/322267,United States,Bobby Wilcox,Corvus brachyrhynchos_American Crow,-118.6983,05:30,Bobby Wilcox,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC322267.mp3
211,4.0,no,amecro,2 (stereo),2016-02-27,3,XC304860.mp3,American Crow,XC304860 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Bear Creek, Oakland County, Michigan",42.7336,44100 (Hz),call,300 m,192000 (bps),mp3,,304860,https://www.xeno-canto.org/304860,United States,Antonio Xeira,Corvus brachyrhynchos_American Crow,-83.1536,09:00,Antonio Xeira,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC304860.mp3
212,4.0,no,amecro,1 (mono),2015-12-01,99,XC297898.mp3,American Crow,XC297898 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Dover, Kent County, Delaware",39.1742,44100 (Hz),"alarm call, call",10 m,128000 (bps),mp3,,297898,https://www.xeno-canto.org/297898,United States,Jerald R,Corvus brachyrhynchos_American Crow,-75.5424,14:30,Jerald R,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC297898.mp3
213,4.0,no,amecro,2 (stereo),2015-11-21,5,XC291509.mp3,American Crow,XC291509 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Lee Valley Reservoir, White Mountains, Apache National Forest, Apache County, Arizona",33.9425,44100 (Hz),call,2900 m,127999 (bps),mp3,,291509,https://www.xeno-canto.org/291509,United States,Eric Hough,Corvus brachyrhynchos_American Crow,-109.4994,13:30,Eric Hough,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC291509.mp3
214,4.0,no,amecro,2 (stereo),2015-11-21,3,XC291508.mp3,American Crow,XC291508 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Lee Valley Reservoir, White Mountains, Apache National Forest, Apache County, Arizona",33.9425,44100 (Hz),call,2900 m,128000 (bps),mp3,,291508,https://www.xeno-canto.org/291508,United States,Eric Hough,Corvus brachyrhynchos_American Crow,-109.4994,13:30,Eric Hough,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC291508.mp3
215,4.0,no,amecro,1 (mono),2015-10-28,16,XC287852.mp3,American Crow,XC287852 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Oxford, Lafayette County, Mississippi",34.4842,44100 (Hz),call,90 m,128000 (bps),mp3,,287852,https://www.xeno-canto.org/287852,United States,J.R. Rigby,Corvus brachyrhynchos_American Crow,-89.5949,13:00,J.R. Rigby,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC287852.mp3
217,4.0,no,amecro,2 (stereo),2015-09-18,51,XC279748.mp3,American Crow,XC279748 American Crow (Corvus brachyrhynchos),[],no,Corvus brachyrhynchos,"Andersonville, Anderson County, Tennessee",36.1719,44100 (Hz),call,280 m,128000 (bps),mp3,,279748,https://www.xeno-canto.org/279748,United States,Bates Estabrooks,Corvus brachyrhynchos_American Crow,-84.009,12:00,Bates Estabrooks,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC279748.mp3
218,4.0,no,amecro,1 (mono),2015-08-05,241,XC267536.mp3,American Crow,XC267536 American Crow (Corvus brachyrhynchos brachyrhynchos),[],no,Corvus brachyrhynchos,"Université Sainte-Anne, Pointe-de-L'Église (Church Point), Clare, Nova Scotia",,44100 (Hz),call,? m,128000 (bps),mp3,,267536,https://www.xeno-canto.org/267536,Canada,Daniel Parker,Corvus brachyrhynchos_American Crow,,06:00,Daniel Parker,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC267536.mp3
219,4.0,no,amecro,2 (stereo),2015-08-07,78,XC266710.mp3,American Crow,XC266710 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Elkins Park, PA",40.0626,44100 (Hz),rattle,60 m,128000 (bps),mp3,,266710,https://www.xeno-canto.org/266710,United States,Paul Driver,Corvus brachyrhynchos_American Crow,-75.1254,06:30,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC266710.mp3
221,4.0,no,amecro,2 (stereo),2015-06-20,8,XC253628.mp3,American Crow,XC253628 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Sacré-Coeur, La Haute-Côte-Nord, Québec",48.2333,44100 (Hz),call,110 m,128000 (bps),mp3,,253628,https://www.xeno-canto.org/253628,Canada,Martin St-Michel,Corvus brachyrhynchos_American Crow,-69.7842,05:50,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC253628.mp3
227,4.0,no,amecro,2 (stereo),2014-09-21,122,XC196757.mp3,American Crow,XC196757 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Skippack (near  Collegeville), Montgomery County, Pennsylvania",40.1899,44100 (Hz),call,40 m,128000 (bps),mp3,,196757,https://www.xeno-canto.org/196757,United States,Paul Driver,Corvus brachyrhynchos_American Crow,-75.4054,06:30,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC196757.mp3
228,4.0,no,amecro,1 (mono),2014-07-04,30,XC196022.mp3,American Crow,XC196022 American Crow (Corvus brachyrhynchos),[],no,Corvus brachyrhynchos,"Flamingo Campground, Everglades National Park, Florida",25.138,48000 (Hz),call,0 m,128000 (bps),mp3,,196022,https://www.xeno-canto.org/196022,United States,Paul Marvin,Corvus brachyrhynchos_American Crow,-80.938,09:55,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC196022.mp3
231,4.0,no,amecro,1 (mono),2014-05-21,217,XC182074.mp3,American Crow,XC182074 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Humboldt, SK",52.199,48000 (Hz),call,550 m,128000 (bps),mp3,,182074,https://www.xeno-canto.org/182074,Canada,Ian Cruickshank,Corvus brachyrhynchos_American Crow,-105.0997,06:20,Ian Cruickshank,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC182074.mp3
237,4.0,no,amecro,1 (mono),2014-01-17,540,XC164832.mp3,American Crow,XC164832 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Powderhorn Park, Minneapolis, Hennepin, Minnesota",44.942,48000 (Hz),call,260 m,128000 (bps),mp3,,164832,https://www.xeno-canto.org/164832,United States,Jonathon Jongsma,Corvus brachyrhynchos_American Crow,-93.259,00:41,Jonathon Jongsma,Creative Commons Attribution-ShareAlike 3.0,dozenspecies/amecro/XC164832.mp3
238,4.0,no,amecro,1 (mono),2014-01-16,223,XC164831.mp3,American Crow,XC164831 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Powderhorn Park, Minneapolis, Hennepin, Minnesota",44.942,48000 (Hz),call,260 m,192000 (bps),mp3,,164831,https://www.xeno-canto.org/164831,United States,Jonathon Jongsma,Corvus brachyrhynchos_American Crow,-93.259,11:26,Jonathon Jongsma,Creative Commons Attribution-ShareAlike 3.0,dozenspecies/amecro/XC164831.mp3
240,4.0,no,amecro,2 (stereo),2013-10-05,14,XC149940.mp3,American Crow,XC149940 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Montmagny, Québec",46.9872,44100 (Hz),call,30 m,128000 (bps),mp3,,149940,https://www.xeno-canto.org/149940,Canada,Martin St-Michel,Corvus brachyrhynchos_American Crow,-70.5887,15:11,Martin St-Michel,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,dozenspecies/amecro/XC149940.mp3
241,4.0,no,amecro,2 (stereo),2013-07-21,56,XC144701.mp3,American Crow,XC144701 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Seal Cove, Maine",44.257,44100 (Hz),call,0 m,128000 (bps),mp3,,144701,https://www.xeno-canto.org/144701,United States,Paul Driver,Corvus brachyrhynchos_American Crow,-68.389,06:27,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,dozenspecies/amecro/XC144701.mp3
242,4.0,no,amecro,2 (stereo),2013-07-21,10,XC144670.mp3,American Crow,XC144670 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Seal Cove, Maine",44.257,44100 (Hz),rattle,0 m,128000 (bps),mp3,,144670,https://www.xeno-canto.org/144670,United States,Paul Driver,Corvus brachyrhynchos_American Crow,-68.389,06:15,Paul Driver,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,dozenspecies/amecro/XC144670.mp3
243,4.0,no,amecro,2 (stereo),2012-07-13,88,XC130896.mp3,American Crow,XC130896 American Crow (Corvus brachyrhynchos brachyrhynchos),[],no,Corvus brachyrhynchos,"Yard, Croton, New York",41.1987,44100 (Hz),call,? m,192000 (bps),mp3,,130896,https://www.xeno-canto.org/130896,United States,Daniel Parker,Corvus brachyrhynchos_American Crow,-73.8832,16:00,Daniel Parker,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,dozenspecies/amecro/XC130896.mp3
244,4.0,no,amecro,1 (mono),2013-02-23,75,XC122636.mp3,American Crow,XC122636 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Montana de Oro State Park, CA",35.2751,48000 (Hz),call,20 m,128000 (bps),mp3,,122636,https://www.xeno-canto.org/122636,United States,Thomas G. Graves,Corvus brachyrhynchos_American Crow,-120.8814,10:30,Thomas G. Graves,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,dozenspecies/amecro/XC122636.mp3
248,4.0,no,amecro,2 (stereo),2011-09-02,62,XC71555.mp3,American Crow,XC71555 American Crow (Corvus brachyrhynchos brachyrhynchos),[],yes,Corvus brachyrhynchos,"Knoxville, Tennessee",35.8589,44100 (Hz),call,150 m,128000 (bps),mp3,,71555,https://www.xeno-canto.org/71555,United States,Mike Nelson,Corvus brachyrhynchos_American Crow,-84.0948,9:30am,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,dozenspecies/amecro/XC71555.mp3
252,4.0,,amecro,1 (mono),2007-07-21,39,XC37651.mp3,American Crow,XC37651 American Crow (Corvus brachyrhynchos),[],,Corvus brachyrhynchos,"Point Pleasant Park, Halifax, Nova Scotia",44.623000000000005,44100 (Hz),call,20 m,128000 (bps),mp3,,37651,https://www.xeno-canto.org/37651,Canada,Bob Planqué,Corvus brachyrhynchos_American Crow,-63.568000000000005,9:00,Bob Planqué,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,dozenspecies/amecro/XC37651.mp3
253,4.0,,amecro,1 (mono),2007-07-21,34,XC37649.mp3,American Crow,XC37649 American Crow (Corvus brachyrhynchos),[],,Corvus brachyrhynchos,"Point Pleasant Park, Halifax, Nova Scotia",44.623000000000005,44100 (Hz),call,20 m,128000 (bps),mp3,,37649,https://www.xeno-canto.org/37649,Canada,Bob Planqué,Corvus brachyrhynchos_American Crow,-63.568000000000005,9:00,Bob Planqué,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,dozenspecies/amecro/XC37649.mp3
256,3.0,no,amecro,2 (stereo),2020-07-18,11,XC577359.mp3,American Crow,XC577359 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Flagstaff, Coconino County, Arizona",35.24,48000 (Hz),"begging call, juvenile, sex uncertain",2200 m,203826 (bps),mp3,,577359,https://www.xeno-canto.org/577359,United States,Timothy Marquardt,Corvus brachyrhynchos_American Crow,-111.6717,07:45,Timothy Marquardt,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC577359.mp3
257,3.0,no,amecro,2 (stereo),2020-06-13,16,XC567995.mp3,American Crow,XC567995 American Crow (Corvus brachyrhynchos),[],no,Corvus brachyrhynchos,"Bush Lake Beach, Bloomington, MN",44.8372,44100 (Hz),"call, song",260 m,174936 (bps),mp3,,567995,https://www.xeno-canto.org/567995,United States,Michael Hurben,Corvus brachyrhynchos_American Crow,-93.3769,07:00,Michael Hurben,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC567995.mp3
258,3.0,no,amecro,1 (mono),2019-04-18,38,XC556241.mp3,American Crow,XC556241 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,Hanna Park Campground,30.36422,48000 (Hz),canto,5 m,192000 (bps),mp3,,556241,https://www.xeno-canto.org/556241,United States,Caio Brito,Corvus brachyrhynchos_American Crow,-81.40509,18:35,Caio Brito,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC556241.mp3
259,3.0,no,amecro,1 (mono),2018-06-10,19,XC550974.mp3,American Crow,XC550974 American Crow (Corvus brachyrhynchos hargravei),[],yes,Corvus brachyrhynchos,"Thomas Canyon Campground, Elko County, Nevada",40.6499,44100 (Hz),"adult, call, sex uncertain",2200 m,128000 (bps),mp3,,550974,https://www.xeno-canto.org/550974,United States,Richard E. Webster,Corvus brachyrhynchos_American Crow,-115.4045,16:19,Richard E. Webster,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC550974.mp3
262,3.0,no,amecro,1 (mono),2019-01-14,32,XC452517.mp3,American Crow,XC452517 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Kachina Wetlands, Flagstaff, Coconino County, Arizona",35.1114,48000 (Hz),flight call,2100 m,128000 (bps),mp3,,452517,https://www.xeno-canto.org/452517,United States,Paul Marvin,Corvus brachyrhynchos_American Crow,-111.6902,13:21,Paul Marvin,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC452517.mp3
263,3.0,no,amecro,1 (mono),2014-03-07,30,XC452143.mp3,American Crow,XC452143 American Crow (Corvus brachyrhynchos),[],yes,Corvus brachyrhynchos,"Quebec, Communauté-Urbaine-de-Québec, Quebec",46.8914,44100 (Hz),call,120 m,80649 (bps),mp3,,452143,https://www.xeno-canto.org/452143,Canada,Diane Labarre,Corvus brachyrhynchos_American Crow,-71.2279,15:00,Diane Labarre,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC452143.mp3
265,3.0,no,amecro,1 (mono),2018-06-13,39,XC420981.mp3,American Crow,XC420981 American Crow (Corvus brachyrhynchos),[],no,Corvus brachyrhynchos,"Caroline (near  Brooktondale), Tompkins County, New York",42.3306,48000 (Hz),call,460 m,192000 (bps),mp3,,420981,https://www.xeno-canto.org/420981,United States,GABRIEL LEITE,Corvus brachyrhynchos_American Crow,-76.3351,07:00,GABRIEL LEITE,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,dozenspecies/amecro/XC420981.mp3
